review,time
슈어 제품 쓰다가 중저음 좋대서 샀는데 모르겠다 xb700 들었을때보다 약한거같고 어째뜬 이거는 주관적인 글이긴한데 기스나서 짜증난다 정품이 이따군가 싶다 불량만 모아서 파는건가 기분 거지같네 일때문에 피곤한거도있고 반품하기 귀찮아서 그냥쓴다 담에는 발품팔아서 살란다 기스 어의가없네,2013-08-10
음... 첨엔 제가 그냥 쓰던 헤드폰이랑 별다를게 없는거같은데... 넘기대했나보다... 그래서영화보기를했어요 음.. 이것도별다를게없군... 했는데 자꾸듣다보니 귀가 넘 편하고 오래 착용해도 귀가 눌려 아프거나 하는게 없구 착용감이 좋아요 그리고영화! 갤럭시S2 예용 세세한 소리까지 다 잡아주는듯 해요 저는 사용할수록 좋네요,2013-05-16
배송 빨라서 좋았구요...ㅎ 나름 고가(?)의 헤드폰은 처음 써보는데 잘은 모르겠지만 좋은 느낌입니다.ㅎ 평소에 굴러나니던 이어폰과는 조금 다른 느낌이라고 해야되나? 기회가 되면 헤드폰 걸고 외출해보고 싶은 마음도 생기네요..ㅎ 디자인 좋아요...ㅎ 좀 더 써봐야 할 것 같지만 좌우지간 마음에 듭니다. 잘 선택한 것 같아요...ㅎ,2013-07-11
일단 배송이 후덜덜하게 빠릅디다.  전날 오후 4시쯤 주문했는데 다음날 오전 10시30분에 받았습니다. 젠하이저를 좋아하다 닥터드레 들어보고 꽂혀서 사려다 급선회 했습니다. ,2013-05-26
두개를 구매 했는데 음질 참 좋습니다. 타격감이나 밀폐감도 마음에 들고요. 그런데 구매한 두개 중에 하나의 제품의 리모트마이크볼륨컨트롤 선이 정상작동이 되지 않습니다. 음이 깨져서 들리고 상태가 좋지 않네요. 이건 소니 가서 직접 교환해야 되는 건가요?,2014-02-17
정말 강추입니다 의사양반꺼나 여러개 들어보았지만 약간 뽀다구는 안날지 몰라도 대가리큰 저도 소화가 가능할 정도로 아주 이쁘다고 생각합니다 베이스가 쿵쾅거리니 베이스를 중요시 하는사람은 필히 구매하셔도 후회없는 선택입니다.,2013-08-21
디자인/사이즈/성능/사용편의성 : 디자인은 닥터드레보다 3690배 더 멋져요ㅋ 사이즈는 조금 큰 편이지만 목에 걸고 들고다니기엔 적당해요 성능은 마치 소니가 이때까지 축척해온 모든 기술을 다 합쳐놓은듯ㅋ 또 접을 수 있어서 들고 다니기도 좋고 완전 추천포장배송상태 : 빨리오면서도 포장이 하나도 훼손 되지않고 만족 또 만족 입니다 그 외 도움이 될 만한 사용후기 : 너무 흔한 헤드폰보다는 이렇게 개성있는 것을 착용하시는것을 추천드려요,2013-05-15
제가주로힙합을듣는데 진짜너무좋네요 배송두빠르고요 진짜 중저음괴물입니다 근데 너무중저음 위주라 락메탈 힙합에좋구요 걍 가요들으려면 1r인가? 그거밖에없네요 박스패 기징 너무 이뻐요 박스같고싶어서 산다는사람도있다는데 ㅋㅋ 박스를사시면 xb920을드려요 ^^ 농담이구요 진짜좋습니다,2014-03-14
헤드폰이야 원래 사려고했던거라 배송도빠르고 정품이고 다좋은데?사은품으로 아이폰4s 케이스를 주셧네여? 사은품 주는지도 몰랐는데.. 심지어 저는 베가아이언쓰는데..!생각지도않은 물품이와서 꽁기꽁기 하지만 주변 지인한테 선물해야겠네요 감사히 잘쓰겠습니다^^ 번창하세요,2014-01-14
배송도 빠르구요 ㅋㅋㅋㅋㅋ 회사에 대한 불만은 아에 하나도없구 너무 감사한데 그냥 헤드폰에 대해 평가를 하자면 제가 인터넷에서 정말 많이 조사하구 모델도 많이보고 찾다찾다 이 제품을 선택했습니다. 기대가 컸던 건지 음질이 생각보다 그냥 그래요 ㅋㅋ 아! 제 귀가 막귀 일 수도 있어요 ㅋㅋㅋ음악전공은 아니라...,2014-06-17
"주말에 주문했는데 배송이 너무 빨라서 좋네요 묵직한 사운드 디자인 모두 마음에 드네요 앞으로 정말 흥겨운 하루하루가 될 것 같아요^^ 
당장 필요한 물건이 늦을까 걱정했는데 배송이 무척 빠르더군요. 택배아저씨까지 친절해서 기분까지 좋습니다.",2013-07-22
배송 7월 6일 이나 된다던 제품이 7월 4일 도착 하였습니다. 배송 빠르네요 ㅋㅋ 가격도 이런저런 해택을 봐서 온라인 최저가 보다 싸게 샀구요 ㅋㅋ 다만 기타 악세사리가 판매가 안되다 보니 그게 조금 불편 했어요 (예. 파우치) 전체적으론 만족 합니다!! 흥하세요!!,2013-07-08
저는 주로 클럽음악이나 일렉을 자주 듣는데...XB 920으로 듣는 음악은 오오오오오~~~~~~~~~~~``이거슨 신세계~~~~~~~끼아아아EQ에서 bass 따로 안 높여도 그냥 베이스가 죽여주네요 둥둥둥 둥둥둥 심장떨려요~~~~~~~~`클럽이 따로 없네 ㅋㅋㅋㅋ,2013-09-17
생각보다 더 커서 놀랐지만 어울려 더 마음에 들었음 음질도 좋고 선도 따로 분리 되 있어서 오래오래 쓸듯합니다. 굿굿 추천 생각보다 더 커서 놀랐지만 어울려 더 마음에 들었음 음질도 좋고 선도 따로 분리 되 있어서 오래오래 쓸듯 합니다. 굿굿 추천 생각보다 더 커서 놀랐지만 어울려 더 마음에 들었음 음질도 좋고 선도 따로 분리 되 있어서 오래오래 쓸듯합니다. 굿굿 추천,2014-01-06
"우선 상품 받자마자 포장상태 확인하고 물건 확인했습니다. 배송은 1.3일 정도로 빠른편에 속합니다. 물건 개봉시 주의 사항이 한가지 있습니다. 정품 보증 스티커는 상자에 붙어있는 것이 아닌 상자 겉의 투명한 포장지에 붙어있습니다. 하마터면 저도 버릴뻔 했네요... 정품스티커 관리에 주의가 필요합니다. 제품 성능에서는 음질 ★★★★☆ : 저음의 둥둥 거리는 음이 상당히 다이나믹합니다. 생동감이 넘치는 음악 감상에 도움을주고 또한 고음에서의 묻히는 현상이 없습니다. 그렇다고 고음이 깔끔하게 쭉 뻗는 느낌은 아니지만 깔끔하게 재생됩니다. 차음성 ★★★★★ : 차음성은 최상입니다. 헤드폰을 귀에 덮기만해도 주변 소음이 잘 들리지 않습니다. 음악을 재생할 시에는 음악 외의 아무런 소리도 들리지 않습니다. 착용감 ★★★★★ : 착용감도 최상입니다. 푹신한 쿠션이 귀 전체를 덮어주는데 꽉 끼이는 느낌이 심하지 않아 장시간 청음시에도 귀에 무리가 오지 않습니다. 배송 ★★★★★ : 당일 발송을 원칙으로 한 빠른 배송 만족합니다. 힙합이나 락 장르의 음악을 감상하기에는 상당히 적합한 제품입니다. 또한 제품 자체의 품질도 상당히 준수하고 가장 중요한 음질면에서도 좋은 평가를 줄 수 있습니다. 댄스곡이나 힙합, 락 등의 음악 감상시 좋은 청음을 보장합니다. 색상은 레드색상을 보지 못해서 확답을 드릴 수는 없지만... 블렉 색상은 상당히 고급스럽네요. 추천합니다.",2013-08-30
"가격대 성능으론 두말 할것 없이 딱이네요 디자인 역시나 심플하며, 줄도 꼬이지 않게 요즘 유행한다는 칼국수 줄 중저음대의 소리가 괜찮구요, 아직 쭉 써보진 않았지만, 첫 개봉후 1시간 정도 사용했던 소감은 대박 만족해요~",2013-08-08
구매는 오래됬으나 이제야 적게 되네요 우선 생각보다 이쁘고 음질좋고 역시나 mdr 시리즈 답게 굉장히 사운드가 무겁습니다 마음에 들어요 방음 처리 말그대로 노래 들으면 자기세상 입니다 아무것도 신경쓰지 마세요,2013-11-30
세가지 색상인가 있었던거 갔은데 빨강을 주문했어요. 색깔이 완전 이쁘구요 휴대용으로 케이스(가방)도 울 아들이 항상 가지고 다녀요 이 제품쓰기 전에는 소니 7-8만원대 헤드폰 사용했었는데요... 완전 느낌 달라요,2013-07-27
"현재 소니 사이트에서 할인가로 199000원에 판매중인데, 여기서 더 할인 받아서 싸게 구입하게 되었네요. 소리는 대개의 경우처럼 아주 좋습니다. 뭐 귀가 전문가가 아니라서 구체적인것은 모르겠으나 음이 아주 또렷하게 잘 ...",2013-08-25
멋져요! 조금 커서 귀를 다 덮어주는 점은 참 좋은데 바깥에 끼고 돌아다니기에는 약간 무리가 있는 것 같네요. 음질은 베이스영역이 매우 돋보여요. 잘 받았습니다!^^,2013-11-14
황금귀 이런거 아닌 일반 사용자입니다. 저음도 둥둥대서 좋고 영화볼때 좋아요 노래도 듣기에 좋고 고음이 많이 죽는다 어쩐다 하는데 그런것도 잘 못느끼겠고... 확실히 이어폰 보다 느낌이 좋아요~,2013-07-14
넘 죽이네요;;뭐라 말로 설명이 안됨.... 저같은 막귀에 이런 음질을...허허......  베이스음 .....허..........놀램.........킁헉.. 신세계를 경험했습니다..,2014-02-03
닥터드레 헤드폰이 유명해서 살까하다가 닥터드레는 가격거품이 너무 심하다고 해서 이걸로 샀는데 좋네요 저음이 빵빵하구요 겨울에는 귀마개 대신에 사용할수도 있어요 근데.. 파우치라도 있었으면 좋았을것 같네요,2013-10-21
비싸고 뭐가 좋을까 했는데 디자인도 이쁘고 음질도 확실히 좋네요 적극 추천함돠~ 헤드셋이 귀엽게 접어져 있고 기존 있던 것은 부러져서 못 쓰는데 이 제품은 접어져서 가지고 다니기에도 좋은 듯^^,2013-06-06
품질은 예술입니다. 돈 하나도않아깝네요 무게도 엄청 가볍고 싼티않납니다 다만 불편한게 약간잇다면 베이스가 무지 강하구요 힙합 일렉듣는분 적극 추천드립니다.,2014-01-14
정말 오랜만에 삼성이나 애플리 아닌 소니 제품을 구매했습니다. 그 이유는 바로 멋진 디자인과 가격대비 훌륭한 품질 때문이죠!,2013-09-22
와이프가 사다주신 헤드폰~감동의 눈물 흘리면서 받았슴다~ 청음 샵에서 들어보고 바로 반했기 땜시롱~~~~ 완전 잘 써야함!!!,2013-07-14
아들 생일 선물로 평소 갖고 싶어하던 소니 헤드폰 사 주었습니다. 디자인이 예쁘고 착용하면 참 편안하고 주변의 소음이 안 들릴 정도로 음악감상에 좋습니다. 강력 추천합니다.,2014-05-29
